time,precipitation_sum (mm),temperature_2m_max (°C)
12/15/2020,8.4,7.3
12/16/2020,13.7,8.7
12/17/2020,9.6,8.2
12/18/2020,12.6,10.2
12/19/2020,17.6,8.8
12/20/2020,3.3,10.4
12/21/2020,34.2,13.8
12/22/2020,2,5.6
12/23/2020,0,3.8
12/24/2020,0,8.3
12/25/2020,8.6,8.4
12/26/2020,6.9,7.3
12/27/2020,2.8,8
12/28/2020,0,5.6
12/29/2020,4.8,6
12/30/2020,16.4,6.6
12/31/2020,13.9,8.4
1/1/2021,15.1,10
1/2/2021,37.8,7.5
1/3/2021,23.8,7.5
1/4/2021,21.3,6.7
1/5/2021,10.3,7.3
1/6/2021,7.2,9.1
1/7/2021,0,9.8
1/8/2021,4.1,9.7
1/9/2021,0,9.1
1/10/2021,3.8,8.9
1/11/2021,23.6,6.6
1/12/2021,43.7,11.4
1/13/2021,17.9,11
1/14/2021,0,13.2
1/15/2021,4.5,10
1/16/2021,0,7.2
1/17/2021,2,9.3
1/18/2021,0,7.7
1/19/2021,0,8.6
1/20/2021,0,7.3
1/21/2021,3.1,6
1/22/2021,0,6.4
1/23/2021,0,4.7
1/24/2021,3.9,3.3
1/25/2021,2,5.6
1/26/2021,0.3,4.9
1/27/2021,5.2,7.8
1/28/2021,5.1,6.5
1/29/2021,0.8,6.9
1/30/2021,7,8.3
1/31/2021,6.5,10.7
2/1/2021,19.9,8.2
2/2/2021,11,7.1
2/3/2021,1.6,8
2/4/2021,8.2,6.6
2/5/2021,6,10.6
2/6/2021,4.1,8.4
2/7/2021,8.2,8
2/8/2021,0.7,4.9
2/9/2021,0,5
2/10/2021,0,4.1
2/11/2021,1.6,2.1
2/12/2021,2.3,0.9
2/13/2021,17.9,-1.4
2/14/2021,10,1.4
2/15/2021,17.2,6
2/16/2021,5.6,8
2/17/2021,2.2,7.3
2/18/2021,5,5.6
2/19/2021,8.2,7.5
2/20/2021,2.8,8.3
2/21/2021,4,9.2
2/22/2021,32.1,9.2
2/23/2021,13.3,6.2
2/24/2021,0,7.7
2/25/2021,10.2,6.1
2/26/2021,12.5,8.4
2/27/2021,1.3,7.5
2/28/2021,1.5,9.6
3/1/2021,0,13.5
3/2/2021,0,9
3/3/2021,0,13.5
3/4/2021,8.5,14.3
3/5/2021,3.2,9.7
3/6/2021,1,9.4
3/7/2021,5.2,8
3/8/2021,0,12.3
3/9/2021,0.5,10.9
3/10/2021,0,10.6
3/11/2021,0,11.2
3/12/2021,0,12.4
3/13/2021,0,14.8
3/14/2021,11.6,9.4
3/15/2021,0.3,7.6
3/16/2021,0,9.7
3/17/2021,0,12.7
3/18/2021,5.7,14.4
3/19/2021,4.1,12.4
3/20/2021,18.6,8.6
3/21/2021,5.7,5.7
3/22/2021,9.1,9.3
3/23/2021,0.9,10.9
3/24/2021,13.3,7.5
3/25/2021,4.8,11.2
3/26/2021,0,10.9
3/27/2021,0,13.1
3/28/2021,15.6,6.3
3/29/2021,0.3,9.4
3/30/2021,0,11.3
3/31/2021,0,17
4/1/2021,0,13.8
4/2/2021,0,12.3
4/3/2021,0.2,15.3
4/4/2021,3.2,8.1
4/5/2021,0,11.6
4/6/2021,0,13.9
4/7/2021,6,7.3
4/8/2021,7.5,10.5
4/9/2021,1.2,8.9
4/10/2021,9.3,9.1
4/11/2021,0,11.4
4/12/2021,0,13.9
4/13/2021,0,16.9
4/14/2021,0,17.6
4/15/2021,0,21.2
4/16/2021,0,23.6
4/17/2021,0,23.9
4/18/2021,0,23.5
4/19/2021,0,21.5
4/20/2021,0,20.5
4/21/2021,0,20.3
4/22/2021,0,14.7
4/23/2021,0.4,16.2
4/24/2021,12.4,9
4/25/2021,10.4,13.3
4/26/2021,1.4,14.1
4/27/2021,0,14.9
4/28/2021,0,17.7
4/29/2021,0,21.7
4/30/2021,3,16.8
5/1/2021,2.1,13.3
5/2/2021,0.4,14.5
5/3/2021,5,13
5/4/2021,2.2,16.6
5/5/2021,0,23.4
5/6/2021,1.9,18
5/7/2021,6.6,11
5/8/2021,0,13.2
5/9/2021,0.9,15.9
5/10/2021,0,17.3
5/11/2021,0,19.3
5/12/2021,0.2,20.4
5/13/2021,0,20.6
5/14/2021,0,22
5/15/2021,0,21.8
5/16/2021,0,23.4
5/17/2021,4.1,17.5
5/18/2021,12.7,13.8
5/19/2021,6.4,12.9
5/20/2021,2.8,14.6
5/21/2021,0,17.3
5/22/2021,0,19.2
5/23/2021,2.1,15.2
5/24/2021,7.6,14
5/25/2021,2.1,17.8
5/26/2021,0,17.5
5/27/2021,17.2,14.9
5/28/2021,0.7,16.7
5/29/2021,0,21.2
5/30/2021,0,21.5
5/31/2021,0,25.2
6/1/2021,0,29.1
6/2/2021,0,28.6
6/3/2021,0,24.7
6/4/2021,0,20.2
6/5/2021,22.4,16.1
6/6/2021,7.7,12.1
6/7/2021,8,14.8
6/8/2021,1,18
6/9/2021,0.1,17.6
6/10/2021,0.6,17
6/11/2021,3.7,16.1
6/12/2021,1.4,22.7
6/13/2021,25.9,18.2
6/14/2021,9,17.6
6/15/2021,5,18.7
6/16/2021,0,20.9
6/17/2021,0,23.8
6/18/2021,0,21.5
6/19/2021,0,22.8
6/20/2021,0,26.8
6/21/2021,0,30.7
6/22/2021,0,26.2
6/23/2021,0,24.1
6/24/2021,0,26.4
6/25/2021,0,30
6/26/2021,0,37
6/27/2021,0,40.1
6/28/2021,0,44.8
6/29/2021,0,32.5
6/30/2021,0.2,27.5
7/1/2021,0.5,23.2
7/2/2021,1.9,24.1
7/3/2021,0,27.4
7/4/2021,0,26.9
7/5/2021,0,25.9
7/6/2021,0,28
7/7/2021,0.7,22.4
7/8/2021,0,22.5
7/9/2021,0,26.1
7/10/2021,0,26.7
7/11/2021,0,25.8
7/12/2021,0,26.8
7/13/2021,0,27.7
7/14/2021,0,25.3
7/15/2021,0.4,22
7/16/2021,1,20.5
7/17/2021,0,23.8
7/18/2021,0,25.6
7/19/2021,0,26.9
7/20/2021,0,23.1
7/21/2021,0.1,20.5
7/22/2021,0,23
7/23/2021,0,25.9
7/24/2021,0,27
7/25/2021,0,26.9
7/26/2021,0,27
7/27/2021,0,27.5
7/28/2021,0,29.4
7/29/2021,0,30.8
7/30/2021,0,33.1
7/31/2021,0.2,26
8/1/2021,4,29.9
8/2/2021,0,29.8
8/3/2021,0,29.3
8/4/2021,0,29.6
8/5/2021,0,28.8
8/6/2021,5.8,24.7
8/7/2021,6.8,21.8
8/8/2021,2.6,21.6
8/9/2021,0,24.1
8/10/2021,0,27
8/11/2021,0,30.7
8/12/2021,0,34.6
8/13/2021,0,35.6
8/14/2021,0,30.6
8/15/2021,0,28.7
8/16/2021,2.7,25.4
8/17/2021,1.6,18.9
8/18/2021,0,23.9
8/19/2021,0.1,23.8
8/20/2021,0.3,19.5
8/21/2021,0,20.7
8/22/2021,0.2,17.7
8/23/2021,0,20.6
8/24/2021,0,25.1
8/25/2021,0,25.5
8/26/2021,2.9,20.4
8/27/2021,4.5,18.2
8/28/2021,0,23.6
8/29/2021,0,24.2
8/30/2021,2,17.8
8/31/2021,1.2,16.7
9/1/2021,0,20.7
9/2/2021,0,23.7
9/3/2021,0,23.8
9/4/2021,0,25.6
9/5/2021,1,24.4
9/6/2021,0.9,23.1
9/7/2021,0,26.4
9/8/2021,1.9,25.3
9/9/2021,0,25.8
9/10/2021,1.5,19.4
9/11/2021,2.5,21.4
9/12/2021,4.5,16.9
9/13/2021,0,19.6
9/14/2021,1.8,17.6
9/15/2021,1.7,16
